cluster_id,lat,lon,count,avg_speed
0,12.971592834048948,77.72282752346479,203867,22.114300009319802
15,13.022546672821045,77.67513701495002,170,25.529411764705884
20,12.881866342532708,77.54797424885057,161,25.024844720496894
29,12.911934200922648,77.77695795694987,120,32.875
28,12.914687357028994,77.79302901580554,119,31.084033613445378
1,12.939382781330337,77.72681381356003,117,29.803418803418804
41,12.710210333930121,77.69407569037543,90,19.511111111111113
25,12.955309632119167,77.76859883512005,89,33.73033707865169
19,12.892541664402659,77.56622360973823,82,15.268292682926829
26,12.956475635744491,77.78218510465801,53,26.41509433962264
10,13.024077800604013,77.63749225323016,52,26.846153846153847
12,13.022925823292834,77.64979894110498,47,27.872340425531913
4,12.972615437074142,77.61825076016513,44,9.340909090909092
27,12.946102792566473,77.78271796486594,44,26.727272727272727
21,12.873631920925407,77.54227465252544,43,10.627906976744185
44,12.93684854961577,77.62669735863095,42,5.333333333333333
18,12.917379843883026,77.62447083302034,39,8.102564102564102
37,12.896455262836657,77.62097127814042,38,15.0
13,13.029884367278129,77.6530586011482,33,21.454545454545453
23,12.816069602966309,77.71553325653076,32,24.6875
7,12.967747872875583,77.65491288708103,31,17.322580645161292
2,12.970651404062908,77.69355392456055,30,7.333333333333333
11,13.009495064064309,77.65683011655454,27,23.74074074074074
17,12.920051773389181,77.64328257242839,24,34.708333333333336
38,12.90629996424136,77.59110226838484,23,30.043478260869566
16,13.036545319990678,77.65569617531516,22,24.272727272727273
42,12.703763615001332,77.68421450528231,22,33.09090909090909
33,12.866441119800914,77.5436123934659,22,31.90909090909091
30,12.86079302701083,77.7833120172674,22,8.818181818181818
34,12.848320579528808,77.54217224121093,20,7.3
8,13.01928777694702,77.65595970153808,20,33.65
3,12.984545406542326,77.64209907933285,19,22.36842105263158
6,13.036078854611045,77.73599283318771,19,12.736842105263158
24,12.801548857437936,77.70504198576275,19,27.526315789473685
14,13.031741594013415,77.66076218454461,19,27.42105263157895
5,12.965822113884819,77.62482325236003,18,28.77777777777778
32,12.885938962300619,77.55829705132379,18,22.11111111111111
35,12.858273718092176,77.58861372205946,18,19.666666666666668
31,12.989081740379333,77.78402137756348,16,33.125
36,12.862054228782654,77.59958076477051,16,8.625
39,12.859410405158997,77.54225254058838,16,28.25
40,12.957395315170288,77.7766056060791,16,47.0
43,12.903484582901001,77.74720668792725,16,40.25
9,13.024442863464355,77.64240976969401,15,22.2
22,13.038554445902507,77.73965148925781,15,30.0
